meal_id,name,calories
1004,"Pomegranate juice, bottled",54
1005,"Nance, unsweetened, frozen",73
1006,"Sauce, sriracha, hot chile",93
1007,"Bread, toasted, wheat germ",293
1008,"Bread, kneel down (Navajo)",195
1011,"Milk, fluid, mature, human",70
1013,"Canadian bacon, unprepared",110
1017,"Pumpkin, with salt, canned",34
1019,"Game meat, raw, wild, boar",122
1020,"Rolls, whole-wheat, dinner",266
1021,"Cheese, nonfat, mozzarella",141
1023,"Ice creams, light, vanilla",180
1024,"Ostrich, raw, inside strip",127
1025,"SILK Very Vanilla, soymilk",53
1026,"Fish, raw, sockeye, salmon",131
1029,"Taro, without salt, cooked",142
1031,"Gravy, chicken, CAMPBELL'S",51
1032,"Fast foods, mashed, potato",89
1035,"Sorghum flour, whole-grain",359
1036,"Milk shakes, thick vanilla",112
1038,"PACE, Thick & Chunky Salsa",25
1040,"Java-plum, raw, (jambolan)",60
1042,"Puddings, dry mix, tapioca",369
1043,"Dip, original flavor, bean",119
1044,"SWANSON, Chicken A La King",71
1045,"McDONALD'S, Barbeque Sauce",165
1046,"Pasta, cooked, whole-wheat",149
1047,"Sauce, tomato based, steak",95
1048,"Mushrooms, dried, shiitake",296
1050,"Carissa, raw, (natal-plum)",62
1051,"Beverages, chocolate syrup",279
1054,"Babyfood, toddler, carrots",26
1056,SILK Strawberry soy yogurt,94
1058,"Fish, raw, rainbow, smelt",97
1059,"Bread, unenriched, raisin",274
1061,"Bagels, whole grain white",255
1063,"Apples, without skin, raw",48
1064,"Tomatoes, canned, crushed",32
1065,"Chrysanthemum leaves, raw",24
1066,"Lentils, raw, pink or red",358
1073,"Mustard, yellow, prepared",60
1074,"Rhubarb, uncooked, frozen",21
1077,"Broccoli, cooked, chinese",22
1081,"Ostrich, raw, outside leg",115
1082,"Fish, raw, orange, roughy",76
1083,"Lemons, without peel, raw",29
1086,"Mammy-apple, raw, (mamey)",51
1092,"Vermicelli, made from soy",331
1093,"Frozen yogurts, chocolate",127
1094,"Mountain yam, raw, hawaii",67
